time,delta,elbow_angle,elbow_velocity,elbow_torque
5.359,0.017,180.0,0.0,-2.2043642384652358E-17
5.375,0.016,180.0,0.0,-2.2043642384652358E-17
5.392,0.017,180.0,0.0,-2.2043642384652358E-17
5.407,0.015,180.0,0.0,-2.2043642384652358E-17
5.424,0.017,180.0,0.0,-2.2043642384652358E-17
5.44,0.016,180.0,0.0,-2.2043642384652358E-17
5.457,0.017,180.0,0.0,-2.2043642384652358E-17
5.473,0.016,180.0,0.0,-2.2043642384652358E-17
5.489,0.016,180.0,0.0,-2.2043642384652358E-17
5.506,0.017,180.0,0.0,-2.2043642384652358E-17
5.522,0.016,180.0,0.0,-2.2043642384652358E-17
5.538,0.016,179.75,-3.125,-7.85395671254356E-4
5.555,0.017,180.0,-0.18382352941176486,-2.2043642384652358E-17
5.571,0.016,180.0,-0.18382352941176486,-2.2043642384652358E-17
5.588,0.017,180.0,-0.18382352941176486,-2.2043642384652358E-17
5.604,0.016,180.0,-0.18382352941176486,-2.2043642384652358E-17
5.62,0.016,180.0,2.941176470588235,-2.2043642384652358E-17
5.637,0.017,180.0,0.0,-2.2043642384652358E-17
5.653,0.016,180.0,0.0,-2.2043642384652358E-17
5.669,0.016,180.0,0.0,-2.2043642384652358E-17
5.686,0.017,180.0,0.0,-2.2043642384652358E-17
5.702,0.016,180.0,0.0,-2.2043642384652358E-17
5.719,0.017,180.0,0.0,-2.2043642384652358E-17
5.735,0.016,180.0,0.0,-2.2043642384652358E-17
5.751,0.016,180.0,0.0,-2.2043642384652358E-17
5.768,0.017,180.0,0.0,-2.2043642384652358E-17
5.784,0.016,180.0,0.0,-2.2043642384652358E-17
5.801,0.017,180.0,0.0,-2.2043642384652358E-17
5.817,0.016,180.0,0.0,-2.2043642384652358E-17
5.833,0.016,180.0,0.0,-2.2043642384652358E-17
5.85,0.017,180.0,0.0,-2.2043642384652358E-17
5.866,0.016,180.0,0.0,-2.2043642384652358E-17
5.882,0.016,180.0,0.0,-2.2043642384652358E-17
5.901,0.019,180.0,0.0,-2.2043642384652358E-17
5.919,0.018,180.0,0.0,-2.2043642384652358E-17
5.939,0.02,180.0,0.0,-2.2043642384652358E-17
